train_loss,epoch,step,val_loss
0.24399420619010925,0,49,
0.19156256318092346,0,99,
0.42244094610214233,0,149,
0.3683411777019501,0,199,
0.47002726793289185,0,249,
0.2040564864873886,0,299,
0.04498527944087982,0,349,
0.29111066460609436,0,399,
0.16969627141952515,0,449,
0.20229977369308472,0,499,
0.22166860103607178,0,549,
0.19820576906204224,0,599,
0.21988967061042786,0,649,
0.11924067884683609,0,699,
0.24933871626853943,0,749,
0.20350614190101624,0,799,
0.1387079507112503,0,849,
0.05768423527479172,0,899,
,0,937,0.1522606462240219
0.13164874911308289,1,949,
0.03518156707286835,1,999,
0.0954381674528122,1,1049,
0.03812254220247269,1,1099,
0.1744997799396515,1,1149,
0.1490933895111084,1,1199,
0.08652786910533905,1,1249,
0.06688995659351349,1,1299,
0.08029669523239136,1,1349,
0.05533985793590546,1,1399,
0.13268886506557465,1,1449,
0.07004626095294952,1,1499,
0.1269320845603943,1,1549,
0.17363764345645905,1,1599,
0.07407282292842865,1,1649,
0.02895045466721058,1,1699,
0.0769752636551857,1,1749,
0.02065509743988514,1,1799,
0.011751295998692513,1,1849,
,1,1875,0.10993283241987228
0.08609721809625626,2,1899,
0.0533251017332077,2,1949,
0.14083439111709595,2,1999,
0.03295642510056496,2,2049,
0.09558390825986862,2,2099,
0.09260991215705872,2,2149,
0.22376748919487,2,2199,
0.11273375153541565,2,2249,
0.05414154380559921,2,2299,
0.015256738290190697,2,2349,
0.05134585127234459,2,2399,
0.058714769780635834,2,2449,
0.15092208981513977,2,2499,
0.12216420471668243,2,2549,
0.13682375848293304,2,2599,
0.09083971381187439,2,2649,
0.18455642461776733,2,2699,
0.11575163900852203,2,2749,
0.007359490729868412,2,2799,
,2,2813,0.09558511525392532
0.01783422939479351,3,2849,
0.011457697488367558,3,2899,
0.08401688933372498,3,2949,
0.02330648899078369,3,2999,
0.04078025370836258,3,3049,
0.0786224901676178,3,3099,
0.0136090237647295,3,3149,
0.035723522305488586,3,3199,
0.23580391705036163,3,3249,
0.04506656154990196,3,3299,
0.0031247769948095083,3,3349,
0.07232028990983963,3,3399,
0.028742896392941475,3,3449,
0.08104323595762253,3,3499,
0.04692712053656578,3,3549,
0.017977550625801086,3,3599,
0.05843020975589752,3,3649,
0.026953671127557755,3,3699,
0.009357967413961887,3,3749,
,3,3751,0.09509312361478806
0.06946159899234772,4,3799,
0.07442378997802734,4,3849,
0.02962413616478443,4,3899,
0.01700369082391262,4,3949,
0.03151961788535118,4,3999,
0.0037576784379780293,4,4049,
0.002308506518602371,4,4099,
0.0014254054985940456,4,4149,
0.18433789908885956,4,4199,
0.017230555415153503,4,4249,
0.07476525753736496,4,4299,
0.007751934230327606,4,4349,
0.08185563236474991,4,4399,
0.033354222774505615,4,4449,
0.009895077906548977,4,4499,
0.010999355465173721,4,4549,
0.05465426295995712,4,4599,
0.012157615274190903,4,4649,
,4,4689,0.0885632336139679
0.08640262484550476,5,4699,
0.038094811141490936,5,4749,
0.049538493156433105,5,4799,
0.019596701487898827,5,4849,
0.042226310819387436,5,4899,
0.005715848878026009,5,4949,
0.008114038966596127,5,4999,
0.023101793602108955,5,5049,
0.003942212089896202,5,5099,
0.0023998485412448645,5,5149,
0.00018106595962308347,5,5199,
0.0101605374366045,5,5249,
0.017625335603952408,5,5299,
0.08852341771125793,5,5349,
0.014598757959902287,5,5399,
0.026887327432632446,5,5449,
0.07479880750179291,5,5499,
0.012702900916337967,5,5549,
0.001842023804783821,5,5599,
,5,5627,0.10952629894018173
0.07682380080223083,6,5649,
0.03253709152340889,6,5699,
0.03313518688082695,6,5749,
0.13174057006835938,6,5799,
0.05269883573055267,6,5849,
0.02093701809644699,6,5899,
0.0026326533406972885,6,5949,
0.08234337717294693,6,5999,
0.027474964037537575,6,6049,
0.018226681277155876,6,6099,
0.02559761330485344,6,6149,
0.006493040360510349,6,6199,
0.013917350210249424,6,6249,
0.05383185297250748,6,6299,
0.004244813229888678,6,6349,
0.0033869631588459015,6,6399,
0.0004994157934561372,6,6449,
0.004206907004117966,6,6499,
1.9357270502950996e-05,6,6549,
,6,6565,0.11002163589000702
0.025976339355111122,7,6599,
0.012159544974565506,7,6649,
0.011396653018891811,7,6699,
0.051502663642168045,7,6749,
0.0391530804336071,7,6799,
0.0027882875874638557,7,6849,
0.007284998428076506,7,6899,
0.07465671747922897,7,6949,
0.0415814146399498,7,6999,
0.009228315204381943,7,7049,
0.004568206612020731,7,7099,
0.02506576105952263,7,7149,
0.014664875343441963,7,7199,
0.023317662999033928,7,7249,
0.0008923091227188706,7,7299,
0.00128334597684443,7,7349,
0.012149087153375149,7,7399,
0.006939430255442858,7,7449,
